run,perturbation,severity,roc_auc,accuracy,eer
ffpp_full_banddrop_sas_seed0,noise,4,0.5073070243505894,0.2793333333333333,0.48967579920356774
ffpp_full_banddrop_sas_seed0,resize,0,0.9970439345231497,0.9736666666666667,0.022541420446309066
ffpp_full_banddrop_sas_seed0,resize,1,0.786990256353409,0.807,0.3012948419499799
ffpp_full_banddrop_sas_seed0,resize,2,0.6601423601340461,0.806,0.36430593572263015
ffpp_full_banddrop_sas_seed0,resize,3,0.6609019836904771,0.806,0.37800260929625745
ffpp_full_banddrop_sas_seed0,resize,4,0.6266592338674148,0.806,0.40243704859601104
ffpp_full_banddrop_sas_seed0,contrast,0,0.9970439345231497,0.9736666666666667,0.022541420446309066
ffpp_full_banddrop_sas_seed0,contrast,1,0.9936238520375535,0.9656666666666667,0.033072403707588294
ffpp_full_banddrop_sas_seed0,contrast,2,0.9817960371668386,0.911,0.06741747887408012
ffpp_full_banddrop_sas_seed0,contrast,3,0.9449081061568592,0.854,0.12915590118782666
ffpp_full_banddrop_sas_seed0,contrast,4,0.860399807855744,0.816,0.22651207012696867
ffpp_frequency_only_seed0,jpeg,0,0.6961754481707925,0.6406666666666667,0.3586268791622965
ffpp_frequency_only_seed0,jpeg,1,0.6983907207967733,0.6243333333333333,0.3520887160727534
ffpp_frequency_only_seed0,jpeg,2,0.6890126741307321,0.6116666666666667,0.364926283117171
ffpp_frequency_only_seed0,jpeg,3,0.6769095046032192,0.585,0.3902198289461343
ffpp_frequency_only_seed0,jpeg,4,0.6535029375900676,0.547,0.3967579920356774
ffpp_frequency_only_seed0,blur,0,0.6961754481707925,0.6406666666666667,0.3586268791622965
ffpp_frequency_only_seed0,blur,1,0.6072529482489576,0.723,0.4256307931066827
ffpp_frequency_only_seed0,blur,2,0.5390239725540691,0.806,0.4875759978852763
ffpp_frequency_only_seed0,blur,3,0.5190353562485255,0.806,0.4945277259045134
ffpp_frequency_only_seed0,blur,4,0.5127014885495099,0.806,0.49642074475795794
ffpp_frequency_only_seed0,noise,0,0.6961754481707925,0.6406666666666667,0.3586268791622965
ffpp_frequency_only_seed0,noise,1,0.6250330425588158,0.7236666666666667,0.4102478831444578
ffpp_frequency_only_seed0,noise,2,0.6253972212984518,0.194,0.4072889752969567
ffpp_frequency_only_seed0,noise,3,0.5384338253476929,0.194,0.48041748740119206
ffpp_frequency_only_seed0,noise,4,0.531943271966551,0.194,0.477458579553691
ffpp_frequency_only_seed0,resize,0,0.6961754481707925,0.6406666666666667,0.3586268791622965
ffpp_frequency_only_seed0,resize,1,0.6290404298801373,0.7023333333333334,0.4119021428632336
ffpp_frequency_only_seed0,resize,2,0.5965489356743098,0.7593333333333333,0.43151663213186325
ffpp_frequency_only_seed0,resize,3,0.5754183969598003,0.7893333333333333,0.4487925609475327
ffpp_frequency_only_seed0,resize,4,0.5434157905059136,0.806,0.47009328660475985
ffpp_frequency_only_seed0,contrast,0,0.6961754481707925,0.6406666666666667,0.3586268791622965
ffpp_frequency_only_seed0,contrast,1,0.6647153792148803,0.709,0.379482063220008
ffpp_frequency_only_seed0,contrast,2,0.6481333441343418,0.7463333333333333,0.38643379123924515
ffpp_frequency_only_seed0,contrast,3,0.6361293022832764,0.784,0.3933855192584823
ffpp_frequency_only_seed0,contrast,4,0.6189858989992013,0.808,0.40518917397866516
ffpp_efficientnet_b0_seed0,jpeg,0,0.995636961050995,0.9743333333333334,0.029079583535852268
ffpp_efficientnet_b0_seed0,jpeg,1,0.9694594379496273,0.6206666666666667,0.09143835324413974
ffpp_efficientnet_b0_seed0,jpeg,2,0.9494541227165105,0.6046666666666667,0.1268493174046882
ffpp_efficientnet_b0_seed0,jpeg,3,0.8941586440755047,0.4,0.18752185072437816
ffpp_efficientnet_b0_seed0,jpeg,4,0.8163586958066504,0.25,0.2665362018537941
ffpp_efficientnet_b0_seed0,blur,0,0.995636961050995,0.9743333333333334,0.029079583535852268
ffpp_efficientnet_b0_seed0,blur,1,0.7771229666390956,0.8063333333333333,0.2989882581668415
ffpp_efficientnet_b0_seed0,blur,2,0.578705598617471,0.805,0.4429067219223521
ffpp_efficientnet_b0_seed0,blur,3,0.5351555060983062,0.806,0.4696477450052442
ffpp_efficientnet_b0_seed0,blur,4,0.477046080512991,0.806,0.5105309832612792
