freq,real_c23,real_c23_std,fake_c23,fake_c23_std,gap_db_c23,real_jpeg30,real_jpeg30_std,fake_jpeg30,fake_jpeg30_std,gap_db_jpeg30
0.5625,3.2016462907119614,2.276284779393126,2.346928416156578,1.6531810916878222,-1.348735066994851,3.0949498215733153,2.042350834412149,2.3380701345801853,1.5008825250703364,-1.2179607728366793
0.575,2.779648908923045,1.9978405556354029,2.0441522224013093,1.437908513875525,-1.3347671069612295,2.6629620615558207,1.742183693825512,2.023569488529597,1.2772220932487464,-1.1924685622636995
0.5875,2.54535062797308,1.8672471300019755,1.8602749220379156,1.3170454070331323,-1.3617048376448264,2.425596813624205,1.6066096080593422,1.8349111913746319,1.1431341153134913,-1.2120356336812659
0.6,2.18950796251777,1.620167407691801,1.6121753370173577,1.168051934034502,-1.3293425515535513,2.0899198621562536,1.374238388472216,1.583223960486941,0.9838698403241368,-1.205872789170224
0.6125,2.0133729491879047,1.4995261418343613,1.4807140760137087,1.0820438083323467,-1.334530236346336,1.914475158663001,1.2502835355937498,1.453366353939533,0.8965547802806363,-1.1967463292955518
0.625,1.760547461907456,1.3071545076319122,1.2953662421660703,0.956560070663331,-1.3325516169904432,1.6708155933632167,1.0774042864692996,1.2722676198680705,0.7831368248691627,-1.1835004476383464
0.6375,1.5719689255973597,1.1843520117774793,1.151816185157429,0.8666101097246551,-1.3506077884311283,1.486885097329228,0.9588791500961975,1.1330534817494013,0.6809392467180743,-1.180269980720337
0.65,1.4458284768953806,1.0900961114460839,1.0556710632347153,0.8008566662821583,-1.365881558380968,1.3688282234355553,0.8728524661155351,1.052456350133446,0.6273267578857503,-1.1414485742055596
0.6625,1.2360486632640213,0.9407954829928397,0.9089479120114792,0.6976093038379029,-1.3349657166689008,1.1771003006054135,0.7342388455186453,0.9139418851989657,0.5422471600051645,-1.098948884107525
0.675,1.1535770940481749,0.8866215262006899,0.8452775283546013,0.6660831530094704,-1.3504729909898094,1.105444673680722,0.6860251162519118,0.8585170066465351,0.5065261643942617,-1.0978810769127132
0.6875,0.9878049681594833,0.7762293598882091,0.7271134034612303,0.5877798396351551,-1.3306905412217511,0.9498520650581764,0.5737082949147969,0.7458121312963845,0.4229531183932367,-1.05026526736518
0.7,0.9161612581321538,0.735720462276729,0.6732551472638157,0.5494486759587021,-1.3379223860824445,0.902227191665012,0.5351570019729616,0.7143762485958421,0.3891652851050032,-1.0138890381943353
0.7125,0.825755481007582,0.6713637390259465,0.607385038126734,0.5034628446209067,-1.333873735156656,0.8177903120905264,0.4777666927710771,0.649697626330858,0.3489899442881979,-0.999306799541751
0.725,0.7292013030966197,0.5997810692601553,0.5365003764613869,0.45452128818017545,-1.3327740289118402,0.7253593785407733,0.4269044788147488,0.5792116372771635,0.3213065401467182,-0.9771595018573562
0.7375,0.6664291187921401,0.5514010431417296,0.48922505554780865,0.4201282856866458,-1.3424527118547518,0.6795406719927144,0.3959631982250604,0.5438560763790412,0.30255496377632246,-0.9673146855644141
0.75,0.5866786427962022,0.4916594105668328,0.4334176749688202,0.3795599132240008,-1.314936579415455,0.5964943472484243,0.34715194632575674,0.47689734282791596,0.27904104474569275,-0.9718142791250663
0.7625,0.5473745450028733,0.4622295903018018,0.40598587228454713,0.35943956331239646,-1.29773673409805,0.58882926636074,0.3217538040805931,0.47663243466995897,0.2631616309052948,-0.9180579310271684
0.775,0.486456361475613,0.4150853104194168,0.36381176584821984,0.32730087525443646,-1.261671438537988,0.5366367087817429,0.28942455294440816,0.4380308709466239,0.2310647885301553,-0.8817565636263691
0.7875,0.44227727032013314,0.38310806022551797,0.33038294626780945,0.29997747431324523,-1.2667699541091708,0.5158504180768293,0.2632247507255108,0.4277320049636682,0.21175856066402002,-0.813520376499598
0.8,0.41073449841946935,0.3588308314205796,0.3073022517604026,0.27976327082118363,-1.2599543553147985,0.5075241556119175,0.24979722002751192,0.42251603013328703,0.19568918559062182,-0.796135249986018
